id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
136,Archaeoglobus veneficus,58290,SNP6,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000194625.1,47,1.9,JF449426,58.7,65,80,,,85,20
137,Caldicellulosiruptor obsidiansis,717609,OB47 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000145215.1,35.2,2.5,GQ338764,58.9,55,78,,,85,30
138,Hydrogenobacter subterraneus,92642,HGP1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,44.5,,AB026268,60.9,60,78,,,85,25
139,Thermocrinis minervae,381751,CR11,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,,40.3,,AM260555,62,65,75,,,85,20
140,Desulfurobacterium pacificum,240166,SL17,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,42,,AY268936,63.5,55,75,,,85,30
141,Sulfolobus acidocaldarius,2285,NBRC 15157,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,GCA_000012285.1,36.7,2.2,D14876,62.8,55,72.5,,,85,30
142,Caldicoprobacter guelmensis,1170224,D2C22,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,41.6,,JQ707908,59.2,45,65,,,85,40
143,Thermococcus zilligii,54076,DSM2770 ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,46.2,,U76534,65.9,55,77.5,75,80,85,30
144,Hydrogenivirga okinawensis,345592,LS12-2,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,,51.3,,AB235314,64.2,65,72.5,70,75,85,20
145,Thermus thermophilus,274,HB8,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_002355995.1,69,2.1,M26923,63.9,47,68.5,65,72,85,38
146,Fervidicoccus fontis,683846,Kam940,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,GCA_000258425.1,37.5,1.3,EF552404,62.4,55,67.5,65,70,85,30
147,Desulfotomaculum kuznetsovii,58135,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,54.9,,NR_026410,57.7,50,62.5,60,65,85,35
148,Pseudothermotoga thermarum,119394,LA3,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000217815.1,40.3,2,NR_024751,63,55,70,,,84,29
149,Calditerricola satsumensis,373054,YMO81,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Calditerricola,,70,,AB250968,62.4,56,78,,,83,27
150,Acidianus sulfidivorans,312539,JP7,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201765.1,31.1,2.3,AY907891,60.7,45,74,,,83,38
151,Methanotorris formicicus,213185,Mc-S-70,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,,33.3,,AB100884,62,55,70,,,83,28
152,Caldicellulosiruptor kristjanssonii,52765,I77R1B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166695.1,36.1,2.8,AJ004811,58.6,45,78,,,82,37
153,Ammonifex thiophilus,444093,SR,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,,56.2,,EF554597,62.7,60,75,,,82,22
154,Caldimicrobium rimae,444091,DS,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,,35.2,,EF554596,62.2,52,75,,,82,30
155,Thermocladium modestius,62609,1C-125,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium,,52,,AB005296,63.9,45,75,,,82,37
156,Caldicellulosiruptor kronotskyensis,413889,2002,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166775.1,35.1,2.8,EF100909,58.3,45,70,,,82,37
157,Thermodesulfobacterium commune,1741,YSRA-1 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000734015.1,37,1.8,L10662,52.7,45,70,,,82,37
158,Hydrogenobacter hydrogenophilus,35835," INMI
Z-829",Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,43,,Z30242,60.1,50,75,74,76,82,32
159,Calditerricola yamamurae,448141,YMO722,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Calditerricola,,64,,AB308475,62.5,56,72,,,81,25
160,Thermovorax subterraneus,496831,70B ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovorax,,44.2,,EU370564,60.7,50,71,,,81,31
161,Dictyoglomus thermophilum,14,H E E2,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,GCA_000020965.1,33.7,2,X69194,58.9,50,78,,,80,30
162,Phorcysia thermohydrogeniphila,936138,HB-8 ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Phorcysia,,47.8,,HQ336972,62.9,65,75,,,80,15
163,Sulfurihydrogenibium rodmanii,380763,UZ3-5,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,,35,,AM259502,58.2,55,75,,,80,25
164,Thermovibrio ammonificans,228745,HB-1 ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,GCA_000185805.1,52.1,1.8,AY263403,63.5,69,75,,,80,11
165,Thermovibrio ruber,171869,ED11/3LLK ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,,46,,AJ316619,62.6,50,75,,,80,30
166,Thermodesulfobacterium hydrogeniphilum,161156,SL6,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,,28,,AF332514,62,50,75,,,80,30
167,Caldicellulosiruptor owensensis,55205,OL,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166335.1,35.4,2.4,U80596,58.3,50,75,,,80,30
168,Archaeoglobus sulfaticallidus,1316941,PM70-1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000385565.1,43.2,2.1,FJ810190,62.1,60,75,,,80,20
169,Metallosphaera prunae,47304,Ron 12/II,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,,46,,X90482,62.7,55,75,,,80,25
170,Metallosphaera sedula,43687,TH2,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,GCA_000016605.1,46.2,2.2,X90481,62.6,50,75,,,80,30
171,Persephonella marina,309805,EX-H1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,GCA_000021565.1,37.1,2,AF188332,61.1,55,73,,,80,25
172,Thermosipho japonicus,90323,IHB1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.4,,AB024932,60.9,45,72,,,80,35
173,Thermoanaerobacter pentosaceus,694059,DTU01,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,34.2,,GU176611,59.5,50,70,,,80,30
174,Fervidicola ferrireducens,520764,Y170,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Fervidicola,,48,,EU443728,60.8,55,70,,,80,25
175,Thermus parvatiensis,456163,RL,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001535545.1,68.5,2,EU017402,63.9,60,70,,,80,20
176,Vulcanithermus mediatlanticus,206045,TR,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Vulcanithermus,,68.4,,AJ507298,63,37,70,,,80,43
177,Thermaerobacter subterraneus,175696,C21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,71,,AF343566,64,55,70,,,80,25
178,Thermodesulfatator indicus,171695,CIR29812,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,GCA_000217795.1,42.4,2.3,AF393376,62.4,55,70,,,80,25
179,Thermosipho melanesiensis,46541,BI429,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000016905.1,31.4,1.9,Z70248,60.4,45,70,,,80,35
180,Caldicellulosiruptor saccharolyticus,44001,Tp8T 6331,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000016545.1,35.3,3,L09178,58.7,45,70,,,80,35
181,Methanothermobacter tenebrarum,680118,M.O.H.,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,52,,AB523785,59,45,70,,,80,35
182,Acidianus tengchongensis,146920,S5 ,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,38,,AF226987,60.6,55,70,,,80,25
183,Metallosphaera hakonensis,79601,HO1-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,GCA_003201675.1,43.7,2.5,D86414,62.1,50,70,,,80,30
184,Kosmotoga olearia,651457,TBF 19.5.1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,GCA_000023325.1,41.5,2.3,NR_044583,61.5,20,65,,,80,60
185,Fervidobacterium riparium,548918,1445t,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,31,,EU851047,60.1,46,65,,,80,34
186,Caldicellulosiruptor hydrothermalis,413888,108,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166355.1,36.1,2.8,EF100908,58.9,50,65,,,80,30
187,Thermosipho atlanticus,238991,DV1140,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,33,,AJ577471,60.4,45,65,,,80,35
188,Hydrogenothermus marinus,133270,VM1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,,43,,AJ292525,58.3,45,65,,,80,35
189,Thermoanaerobacter acetoethylicus,2704, HTB2,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,31,,L09163,57.2,40,65,,,80,40
190,Fervidobacterium islandicum,2423,H21,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000767275.3,40.7,2.2,M59176,60.6,50,65,,,80,30
191,Methanothermobacter crinale,1045764,Tm2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,40.1,,HQ283273,59.1,45,60,,,80,35
192,Thermaerobacter marianensis,73919,7p75a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,GCA_000184705.1,72.5,2.8,AB011495,64,50,75,74,76,80,30
193,Rhodothermus profundi,633813,PRI 2902,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,,60.9,,FJ624399,62.6,55,72.5,70,75,80,25
194,Desulfurobacterium atlanticum,240169,SL22,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,41,,AY268939,61.8,50,72.5,70,75,80,30
195,Balnearium lithotrophicum,223788,17S,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,,34.6,,AB105048,53.1,45,72.5,70,75,80,35
196,Thermoanaerobacter italicus,108150,Ab9,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000025645.1,34.1,2.5,AJ250846,59.1,45,72.5,70,75,80,35
197,Thermomicrobium roseum,500,ATCC 27502,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,GCA_000021685.1,64.3,2.9,M34115,65.5,45,72.5,70,75,80,35
198,Caldisphaera lagunensis,200415,IC-154,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,GCA_000317795.1,30,1.5,AB087499,61.7,45,72.5,70,75,80,35
199,Thermus composti,532059,K-39,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,71.3,,EU701067,63.8,40,70,65,75,80,40
200,Thermus filiformis,276,Wai33 AI ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65,,L09667,62.6,37,71.5,70,73,80,43
201,Desulfovirgula thermocuniculi,348842,RL80JIV,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,,60.1,,DQ208689,60.4,61,70.5,69,72,80,19
202,Thermodesulfatator autotrophicus,1795632,S606,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,,43.1,,KU681513,62.7,50,67.5,65,70,80,30
203,Thermus antranikianii,88190,HN3-7 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65.4,,Y18406,63.3,50,67.5,65,70,80,30
204,Thermus igniterrae,88189,RF-4 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,70.3,,Y18416,64.6,45,67.5,65,70,80,35
205,Fervidobacterium gondwanense,44754,AB39,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,35,,Z49117,59.8,45,66.5,65,68,80,35
206,Thermaerobacter composti,554949,NI80,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,72,,AB454087,64.9,52,70,,,79,27
207,Fervidobacterium nodosum,2424,Rt17‐B,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000017545.1,35,1.9,M59177,58.7,41,70,,,79,38
208,Thermus aquaticus,271,YT-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001399775.1,68,2.3,L09663,63,40,70,,,79,39
209,Thermus islandicus,540988,PRI3838,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,69,,EU753247,63.4,45,65,,,79,34
210,"""Caldisphaera draconis""",411358,18U65,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,,53.9,,EF057392,61.7,60,71,70,72,79,19
211,Kosmotoga pacifica,1330330,SLHLJ1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,43.7,,KC119212,60.3,33,70,,,78,45
212,Thermosulfidibacter takaii,412593,ABI70S6,Bacteria,Aquificae,Aquificae,Aquificales,,Thermosulfidibacter,GCA_001547735.1,43,1.8,AB282756,62.1,55,70,,,78,23
213,Thermolithobacter carboxydivorans,335383,R1,Bacteria,Firmicutes,Thermolithobacteria,Thermolithobacterales,Thermolithobacteraceae,Thermolithobacter,,52,,DQ095862,59.2,40,70,,,78,38
214,Thermaerobacter litoralis,317015,KW1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,70.8,,AY936496,64.1,52,70,,,78,26
215,Sulfurihydrogenibium yellowstonense,304736,SS-5,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,,32,,AY686713,57.1,55,70,,,78,23
216,Thermaerobacter nagasakiensis,159723,Ts1a ,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,69,,AB061441,64.3,52,70,,,78,26
217,Thermoanaerobacter ethanolicus,1757,JW200,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_003722315.1,34.2,2.9,L09162,57,37,69,,,78,41
218,Caldicellulosiruptor lactoaceticus,52766,6A,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000193435.3,36.1,2.7,X82842,59.1,50,68,,,78,28
219,Geobacillus thermocatenulatus,33938,DSM 730,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_002243665.1,51.9,3.7,Z26926,59.7,35,70,65,75,78,43
220,Carboxydothermus hydrogenoformans,129958,Z-2901,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,GCA_000012865.1,42,2.4,NR_074395,58.8,40,71,70,72,78,38
221,Thermoanaerobacter siderophilus,106578,SR4,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,32,,AF120479,58.4,39,70,69,71,78,39
222,Thermus yunnanensis,266825,RHY12-2 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,,,AY557603,62.5,40,67.5,65,70,78,38
223,Caldicellulosiruptor acetigenus,301953,X6B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,,35.7,,AY772476,58.7,50,66.5,65,68,78,28
224,Thermoanaerobacter wiegelii,46354,Rt8.B1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000147695.3,34.3,2.8,X92513,59.1,38,66.5,65,68,78,40
225,Brockia lithotrophica,933949,Kam1851 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Brockia,,63,,HQ540553,63.8,46,62.5,60,65,78,32
226,Hydrogenivirga caldilitoris,246264,AB120294,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,,49.2,,AB120294,63,55,75,,,77.5,22.5
227,Hydrogenobaculum acidophilum,34092, 3H-1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,,35,,D16296,54.5,45,65,,,77.5,32.5
228,Hydrogenobacter thermophilus,940,TK-56,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,GCA_000010785.1,44,1.7,Z30214,59.7,50,72.5,70,75,77.5,27.5
229,Caldimicrobium thiodismutans,1653476,TF1,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,GCA_001548275.1,38.3,1.8,LC055107,61.3,40,75,,,77,37
230,Thermosipho africanus,2421,Ob7,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000021285.1,30.8,2,NR_043912,60,35,75,,,77,42
231,Caldicoprobacter oshimai,551788,JW/HY-331,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,45.4,,AB450762,58.2,44,70,,,77,33
232,Thermus arciformis,482827,TH92,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,68.3,,EU247889,63.2,40,70,,,77,37
233,Ammonifex degensii,42838,KC4,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,GCA_000024605.1,59.4,2.2,U34975,55.7,57,70,,,77,20
234,Rhodothermus marinus,29549,DSM 4252 ,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,GCA_000024845.1,64.3,3.4,NR_029282,61.9,54,65,,,77,23
235,Thermothrix thiopara,48382,ATCC 29244,Bacteria,,,,,Thermothrix,,39.7,,L77876,60.3,62,71.5,70,73,77,15
236,Desulfurella multipotens,79269,RH-8,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,,33.5,,Y16943,53.9,42,59,58,60,77,35
237,Thermosediminibacter oceani,291990,JW/IW-1228P,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,GCA_000144645.1,46.8,2.3,AY703478,60,43,64,,,76,33
238,Thermosediminibacter litoriperuensis,291989,JW/YJL-1230-7/2 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,,50,,AY703479,60.8,43,64,,,76,33
239,Thermorudis pharmacophila,1167092,WKT50.2,Bacteria,Chloroflexi,Thermomicrobia,,,Thermorudis,,58.4,,HE794997,67.8,53,70.5,68,73,76,23
240,Thermovenabulum ferriorganovorum,159731,Z-9801,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovenabulum,,36,,AY033493,59.1,45,64,63,65,76,31
241,Thermolithobacter ferrireducens,416555,JW/KA-2,Bacteria,Firmicutes,Thermolithobacteria,Thermolithobacterales,Thermolithobacteraceae,Thermolithobacter,,52.7,,AF282253,59.8,50,73,,,75,25
242,Hydrogenobacter halophilus,2547829,TH-112,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,46,,LC466842,62.9,60,70,,,75,15
243,Geobacillus galactosidasius,883812,CF1B,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,,53.5,,AM408559,56.3,50,70,,,75,25
244,Thermosipho affectus,660294,ik275mar,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,27,,GQ292553,60.3,37,70,,,75,38
245,Venenivibrio stagnispumantis,407998,CP.B2,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Venenivibrio,,29.3,,DQ989208,57.5,45,70,,,75,30
246,Persephonella guaymasensis,182900,EX-H2,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,,37.4,,AF385630,61,55,70,,,75,20
247,Thermosipho geolei,117503,SL31,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31,,AJ272022,60.1,45,70,,,75,30
248,Desulfurobacterium thermolithotrophum,64160,BSAT,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,GCA_000191045.1,34.9,1.5,AJ001049,61.2,40,70,,,75,35
249,Pseudothermotoga subterranea,39100,SL1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,,40.3,,U22664,60.6,50,70,,,75,25
250,Metallosphaera tengchongensis,1532350,Ric-A,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,,41.8,,KJ735100,62.3,55,70,,,75,20
251,Archaeoglobus infectus,403219,Arc51,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,45.9,,AB274307,62.7,60,70,,,75,15
252,Aciduliprofundum boonei,379547,T469,Archaea,Euryarchaeota,,,,Aciduliprofundum,GCA_000025665.1,39.2,1.5,DQ451875,62,55,70,,,75,20
253,Acidianus brierleyi,41673,DSM 3191,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201835.1,31.9,2.9,X90477,60.4,45,70,,,75,30
254,Thermosipho globiformans,380685,MN14,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.7,,AB257289,60,40,68,,,75,35
255,Thermosulfuriphilus ammonigenes,1936021,ST65,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfuriphilus,,,,KY471008,60.6,47,65,,,75,28
256,Desulfurobacterium indicum,1914305,K6013,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,38.2,,KT750866,61.4,40,65,,,75,35
257,Thermosipho activus,1462921,Rift-s3 ,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,30,,KF931642,60.8,44,65,,,75,31
258,Thermohydrogenium kirishiense,937254,ZE-7,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Thermohydrogenium,,33.6,,NR_104808,54.6,45,65,,,75,30
259,Caldanaerobacter subterraneus,911092,ATCC BAA E25,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,GCA_000007085.1,37.6,2.7,AF195797,58.7,40,65,,,75,35
260,Rhabdothermus arcticus,874266,2M70-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Rhabdothermus,,68,,HM856631,63.8,37,65,,,75,38
261,Caldicoprobacter algeriensis,699281,TH7C1,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,44.7,,GU216701,57.7,55,65,,,75,20
262,Caldinitratiruptor microaerophilus,671077,CA62N,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Caldinitratiruptor,,70.3,,GQ405534,64.4,50,65,,,75,25
263,Kosmotoga shengliensis,501340,2SM-2,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,36.4,,EU276414,61.7,45,65,,,75,30
264,Pseudothermotoga lettingae,177758,TMO,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000017865.1,38.7,2.1,AF355615,59.8,50,65,,,75,25
265,Parageobacillus caldoxylosilyticus,81408,S1812,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,,44,,AF067651,57.8,43,65,,,75,32
